ENSG00000159128	ENST00000290219	ENST00000381995	ENST00000405436	ENST00000421802
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	0	0	0
0	0	0	0	0
1.0	1.0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
2.0	2.0	0	0	0
0	0	0	0	0
1.0	1.0	0	0	0
0	0	0	0	0
0	0	0	0	0
3.0	3.0	0	0	0
1.0	1.0	0	0	0
1.0	1.0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
2.0	2.0	0	0	0
0	0	0	0	0
1.0	1.0	0	0	0
1.0	1.0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
4.0	4.0	4.0	0	0
2.0	2.0	2.0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
2.0	2.0	2.0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	0	0
1.0	1.0	1.0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
2.0	2.0	2.0	0	0
82.0	82.0	82.0	0	0
6.0	6.0	6.0	0	0
9.0	9.0	9.0	0	0
8.0	8.0	8.0	0	0
0	0	0	0	0
0	0	0	0	0
12.0	12.0	12.0	0	0
0	0	0	0	0
3.0	3.0	3.0	0	0
30.0	30.0	30.0	0	0
0	0	0	0	0
3.0	3.0	3.0	3.0	0
14.0	14.0	14.0	14.0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
10.0	10.0	10.0	10.0	0
3.0	3.0	3.0	3.0	0
19.0	19.0	19.0	19.0	0
62.0	62.0	62.0	62.0	0
5.0	5.0	5.0	5.0	0
2.0	2.0	2.0	2.0	0
3.0	3.0	3.0	3.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
2.0	2.0	2.0	2.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
2.0	2.0	2.0	2.0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
2.0	2.0	2.0	2.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
2.0	2.0	2.0	2.0	0
1.0	1.0	1.0	1.0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
2.0	2.0	2.0	2.0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
2.0	2.0	2.0	2.0	0
0	0	0	0	0
2.0	2.0	2.0	2.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
5.0	5.0	5.0	5.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1.0	0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1.0	0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
2.0	2.0	2.0	2.0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
3.0	3.0	3.0	3.0	0
0	0	0	0	0
2.0	2.0	2.0	2.0	0
0	0	0	0	0
0	0	0	0	0
2.0	2.0	2.0	2.0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
1.0	1.0	1.0	1.0	0
2.0	2.0	2.0	2.0	0
0	0	0	0	0
0	0	0	0	0
6.0	6.0	6.0	6.0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
9.0	9.0	9.0	9.0	0
0	0	0	0	0
2.0	2.0	2.0	2.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
2.0	2.0	2.0	2.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
2.0	2.0	2.0	2.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
4.0	4.0	4.0	4.0	0
6.0	6.0	6.0	6.0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
9.0	9.0	9.0	9.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
2.0	2.0	2.0	2.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
2.0	2.0	2.0	2.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
2.0	2.0	2.0	2.0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
4.0	4.0	4.0	4.0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
3.0	3.0	3.0	3.0	0
6.0	6.0	6.0	6.0	0
5.0	5.0	5.0	5.0	0
1.0	1.0	1.0	1.0	0
1.0	1.0	1.0	1.0	0
3.0	3.0	3.0	3.0	0
0	0	0	0	0
14.0	14.0	14.0	14.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
1.0	1.0	1.0	1.0	0
4.0	4.0	4.0	4.0	0
0	0	0	0	0
0	0	0	0	0
3.0	3.0	3.0	3.0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
2.0	2.0	2.0	2.0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
5.0	5.0	5.0	5.0	0
0	0	0	0	0
2.0	2.0	2.0	2.0	0
1.0	1.0	1.0	1.0	0
1.0	1.0	1.0	1.0	0
6.0	6.0	6.0	6.0	0
6.0	6.0	6.0	6.0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
9.0	9.0	9.0	9.0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
2.0	2.0	2.0	2.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
3.0	3.0	3.0	3.0	0
0	0	0	0	0
2.0	2.0	2.0	2.0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
3.0	3.0	3.0	3.0	0
0	0	0	0	0
0	0	0	0	0
9.0	9.0	9.0	9.0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
4.0	4.0	4.0	4.0	0
0	0	0	0	0
0	0	0	0	0
10.0	10.0	10.0	10.0	0
0	0	0	0	0
0	0	0	0	0
3.0	3.0	3.0	3.0	0
0	0	0	0	0
0	0	0	0	0
2.0	2.0	2.0	2.0	0
1.0	1.0	1.0	1.0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
4.0	4.0	4.0	4.0	0
1.0	1.0	1.0	1.0	0
6.0	6.0	6.0	6.0	0
7.0	7.0	7.0	7.0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
11.0	11.0	11.0	11.0	0
0	0	0	0	0
2.0	2.0	2.0	2.0	0
0	0	0	0	0
4.0	4.0	4.0	4.0	0
1.0	1.0	1.0	1.0	0
7.0	7.0	7.0	7.0	0
0	0	0	0	0
2.0	2.0	2.0	2.0	0
2.0	2.0	2.0	2.0	0
0	0	0	0	0
0	0	0	0	0
3.0	3.0	3.0	3.0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
4.0	4.0	4.0	4.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
16.0	16.0	16.0	16.0	0
0	0	0	0	0
0	0	0	0	0
3.0	3.0	3.0	3.0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
2.0	2.0	2.0	2.0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
5.0	5.0	5.0	5.0	0
3.0	3.0	3.0	3.0	0
0	0	0	0	0
0	0	0	0	0
4.0	4.0	4.0	4.0	0
0	0	0	0	0
0	0	0	0	0
5.0	5.0	5.0	5.0	0
0	0	0	0	0
6.0	6.0	6.0	6.0	0
0	0	0	0	0
0	0	0	0	0
3.0	3.0	3.0	3.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
2.0	2.0	2.0	2.0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
2.0	2.0	2.0	2.0	0
0	0	0	0	0
0	0	0	0	0
2.0	2.0	2.0	2.0	0
2.0	2.0	2.0	2.0	0
0	0	0	0	0
3.0	3.0	3.0	3.0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
6.0	6.0	6.0	6.0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
2.0	2.0	2.0	2.0	0
2.0	2.0	2.0	2.0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
3.0	3.0	3.0	3.0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
4.0	4.0	4.0	4.0	0
2.0	2.0	2.0	2.0	0
0	0	0	0	0
2.0	2.0	2.0	2.0	0
1.0	1.0	1.0	1.0	0
1.0	1.0	1.0	1.0	0
3.0	3.0	3.0	3.0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
3.0	3.0	3.0	3.0	0
0	0	0	0	0
0	0	0	0	0
2.0	2.0	2.0	2.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
9.0	9.0	9.0	9.0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
3.0	3.0	3.0	3.0	0
0	0	0	0	0
2.0	2.0	2.0	2.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
4.0	4.0	4.0	4.0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
4.0	4.0	4.0	4.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
6.0	6.0	6.0	6.0	0
0	0	0	0	0
0	0	0	0	0
7.0	7.0	7.0	7.0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
3.0	3.0	3.0	3.0	0
0	0	0	0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
2.0	2.0	2.0	2.0	0
0	0	0	0	0
0	0	0	0	0
8.0	8.0	8.0	8.0	0
2.0	2.0	2.0	2.0	0
1.0	1.0	1.0	1.0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
2.0	2.0	2.0	2.0	0
0	0	0	0	0
1.0	1.0	1.0	1.0	0
0	0	0	0	0
4.0	4.0	4.0	4.0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
